PLAYER_NAME,SEASON,TEAM_ABBREVIATION,POSITION,PROFILE_GROUP,AGE,PTS,REB,AST,TS_PCT,USG_PCT,SCORING_PCTL,SHOOTING_PCTL,PLAYMAKING_PCTL,REBOUNDING_PCTL,DEFENSE_PCTL,EFFICIENCY_PCTL,RIM_PRESSURE_PCTL,CREATION_PCTL,ARCHETYPE
Aaron Brooks,2015-16,CHI,Guard/Wing,Guard/Wing,31.0,21.8,4.5,8.0,0.494,0.225,61.302099178582296,48.78054963999595,82.69698813507758,9.796166717371463,75.33465165804685,16.253422573775477,51.574383936720416,79.09187709157285,Guard/Wing
Aaron Gordon,2015-16,ORL,Big,Big,20.0,18.9,13.3,3.4,0.541,0.169,43.71630029033596,67.35103000138255,67.48237245956035,41.51804230609705,39.84031522189962,42.4305267523849,38.317433983132865,54.56242223143924,Big
Al Horford,2015-16,ATL,Big,Big,30.0,22.9,10.9,4.8,0.565,0.202,69.14143508917462,78.20406470344255,91.06180008295313,11.012028204064704,52.82248029863127,59.97511406055579,62.35310382966957,78.49440066362504,Big
Al Jefferson,2015-16,CHA,Big,Big,31.0,25.3,13.6,3.2,0.507,0.24,79.98755703027788,20.275127886077698,73.64164247200333,41.51804230609705,59.88593944421402,18.851099128992118,67.73814461495921,79.14765657403568,Big
Al-Farouq Aminu,2015-16,POR,Guard/Wing,Guard/Wing,25.0,17.5,10.4,2.9,0.533,0.166,30.803163979312444,55.84119257681777,21.858837846060236,89.64861575905081,45.588682689382416,44.82050501977487,30.65865530879221,26.418466686948584,Guard/Wing
Alec Burks,2015-16,UTA,Guard/Wing,Guard/Wing,24.0,26.1,6.9,4.0,0.52,0.246,82.79586248859142,52.6341141872021,49.88591420748403,56.63979312442957,80.46851232126559,33.76939458472771,64.46100801135788,67.8049893519927,Guard/Wing
Alex Len,2015-16,PHX,Big,Big,23.0,18.6,15.7,2.6,0.482,0.202,41.97428452924098,39.872805198396236,56.594773952716714,75.81916217337205,51.93591870593115,9.062629614267939,37.88193004285912,61.26088759850684,Big
Allen Crabbe,2015-16,POR,Guard/Wing,Guard/Wing,24.0,19.2,5.0,2.3,0.572,0.159,43.11682385153636,71.33404320048676,12.047459689686644,20.29205962884089,53.749619714024945,76.30057803468208,46.92982456140351,18.698661393367814,Guard/Wing
Alonzo Gee,2015-16,NOP,Guard/Wing,Guard/Wing,29.0,9.7,7.3,2.1,0.572,0.091,0.8898691816245817,34.58320657134165,6.860358989960451,62.229996957712196,59.27137207179799,76.30057803468208,32.570226143393164,3.6127167630057806,Guard/Wing
Amir Johnson,2015-16,BOS,Big,Big,29.0,15.6,13.6,3.7,0.602,0.136,22.45956034840315,72.9227153325038,71.69224388220655,39.71381169639154,53.488179178764,81.6051430941518,42.548043688649244,44.753214433844875,Big
Andre Drummond,2015-16,DET,Big,Big,22.0,24.6,22.5,1.3,0.499,0.239,77.16715055993365,46.22563251762754,12.422231439236832,99.25342181667358,71.22874326005807,14.786395686437162,74.84446287847366,48.382413936126085,Big
Andre Iguodala,2015-16,GSW,Guard/Wing,Guard/Wing,32.0,12.5,7.2,6.0,0.565,0.117,5.643443869790082,49.55886826893825,58.46516580468513,62.229996957712196,88.92607240644965,71.52418618801339,31.33556434438698,31.134012777608763,Guard/Wing
Andre Roberson,2015-16,OKC,Guard/Wing,Guard/Wing,24.0,10.7,7.9,1.5,0.566,0.092,1.8177669607544873,38.984382922624484,0.5932461210830545,69.09035594767265,78.68116823851537,72.21630666261028,31.343170063888042,0.5019774870702769,Guard/Wing
Andrew Bogut,2015-16,GSW,Big,Big,31.0,12.4,16.3,5.4,0.623,0.115,8.689340522604729,68.1321719894926,85.52467855661551,82.18581501451679,88.25072583990045,88.22065532973869,36.651458592561866,46.30858564910825,Big
Andrew Wiggins,2015-16,MIN,Guard/Wing,Guard/Wing,21.0,29.1,5.1,2.8,0.543,0.267,90.78947368421053,31.556130209917857,29.251597201095226,27.89017341040462,37.67873440827502,54.16793428658351,85.04462022107292,60.63659872223913,Guard/Wing
Anthony Brown,2015-16,LAL,Guard/Wing,Guard/Wing,23.0,9.5,5.8,1.6,0.427,0.109,0.7681776696075449,21.08305445695163,2.023121387283237,31.959233343474292,73.15181016124124,1.0343778521448128,0.9912787749721123,2.0079099482811076,Guard/Wing
Anthony Davis,2015-16,NOP,Big,Big,23.0,33.5,14.2,2.6,0.559,0.29,96.4537536291995,71.74754596986037,65.67814184985482,61.820821236001656,61.318954790543344,55.76524263790959,78.95064288676899,81.26296142679385,Big
